Kode,Navn,Enhet,Kommentar,bauhaus,byggern,byggmakker,byggmax,byggtorget,elektroimportoren,fargerike,flisekompaniet,gausdal_landhandleri,industrivarer,jemogfix,jernia,maxbo,megaflis,monter,obs_bygg,staypro,torn,verktoy,xl_bygg
47314014,Karmsett ik 9x21 093mm hvit uten tersk Swedoor,stk,,,919,859,,,,,,,,,,,,,,,,,974.89
48029164,+karm 9x21 093mm hvit uten terskel Swedoor,stk,,,1290,1249,,,,,,,,,,,,1535,,,,,1274.94
52023421,Dørblad stable 9x21 hvit massiv glatt dør Swedoor,stk,,,2090,1799,,1699,,,,,,,,1749,,1759,,,1399,,1832.73
S1410200,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
25806894,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
26831354,Hjørnelist 25x25mm rustfr stål 3m Industri- og Boliggulv,stk,,,,,,,,,,,,,,,,,,,,,
44810254,Baderomspanel 1960-7946 hvit snø 60x15 BerryAlloc,stk,,,551.3,,,,,,,,,,,,,,,,,,
44899343,"Hjørnelist innvendig 2-delt 2,4m BerryAlloc",stk,,,379,419,,459,,,,,,,,429,419,359,,,149,,547.44
44931354,Skruer til w%26w panel og list BerryAlloc,stk,,,349,,,,,,,,,,,349,349,289,,,,,319
45533263,Gulvlist bunnspor aluminium nat lok BerryAlloc,stk,,,189,179,,,,,,,,,,209,209,179,,,79,,272.38
53672534,Laminatgulv original hvit eik BerryAlloc,m2,,439,469,456.33,,568.22,,,,,,,,486.15,441,569,,,269,,549.92
56435165,"Baderomspanel lys skifer 60x60 s 10,2mm pla=1,488m2 BerryAlloc",stk,,,967.01,,,,,,,,,,,,892.51,1235.21,,,541,,
11340056,Mont/justernøkkel kmn 100mm kombinøkkel herdet stål essve INDU-PROG,stk,,119,145,219,,208.74,,,,169,,,,,,,,,,,208.74
24803165,"Pakkestropp 2,0m transport Fasty",stk,,,69,,,,,,,,,,79.5,,,,,,,,
25621608,Skruekrok 11 elforsinket 40mm 8stk ESSVE,pakke,,,44,34.9,,37.89,,,,,,,,,,,,41,,,32.84
25861287,Karmskrue l skarpspiss 6x110 fb-100 ESSVE,pakke,,,490,599,,520.45,,,,,,,,,,,,599,,,536.78
28757904,Dørhåndtak copenhagen utvendig b-krom sb Habo,stk,,379,549,539,,617.62,,,,,,,,629,,576,,,,,676.23
40875916,Dørhåndtak valencia innvendig b-krom sb dt 38-42mm Habo,stk,,,449,319,,525.54,,,,,,,,369,,536,,,,,526.55
45547698,Dørhåndtak innvendig b-krom polypropylene 2012stk Habo,stk,,,198,139,,178.75,,,,159,,,,139,,135,,,,,189
11351756,"Sponplateskrue innvendig 4,2x42 elforsinket 1000stk Philips",stk,,359,519,459,,410.85,,,,399,,,,,,559.11,,359,,,429
21658869,"Betongskruer senkhode 7,5x92 elforsinket 100stk",pakke,,,490,899,,655.9,,,,679,,,,,,1106.12,,306,,,679
22817324,"Treskrue innvendig senkhode 3,5x20 elforsinket ESSVE",stk,,,36,28.95,,,,,,,,,,,,,,,,,28.6
25535733,Treskrue innvendig senkhode 4x50 elforsinket 200stk ESSVE,stk,,,,,,,,,,,,,,,,,,,,,
25559279,Spikerplugg 8/80/120 blank 20stk ESSVE,pakke,,,239,199,,,,,,,,,,,,,,,,,
28998516,"Vinkelbeslag ac35350 50x50x2,0x35mm Simpson Strong-Tie",stk,,,6.9,5.9,,6.17,,,,,,,,6.5,,6.1,5.79,,,,6.06
30085468,"Treskrue innvendig ph 4,5x40 elforsinket panhode 15stk ESSVE",stk,,,36,,,,,,,,,,,,,,,,,,39.9
41327099,"Vinkelbeslag 88x88x2,0x65mm ribbe Simpson Strong-Tie",stk,,,12.9,11.4,,13.45,,,,,,,,13.9,,12.9,11.9,,,,13.05
42052814,"Vinkel 40x60x2,0x25mm Simpson Strong-Tie",stk,,,10.9,9.9,,10.39,,,,,,,,10.9,,10.9,9.5,,,,10.34
42117346,"Vinkel 40x40x2,0x25mm Simpson Strong-Tie",stk,,,8.9,7.9,,7.98,,,,,,,,8.9,,8.1,7.9,,,,7.94
43844984,"Terrasseskrue classic 4,5x42 250stk ESSVE",stk,,,169,159,,151.83,,,,,,,,,,224,,163,,181,133.04
43845075,"Terrasseskrue clas 4,2x55 syrefast classic 250stk ESSVE",stk,,319,249,299,,269,,,,299,,,,,,589,,426,,421,348.9
45148933,Spiker coil 16grader 28/75 vgkcc 800stk HiKOKI Power Tools,stk,,499,598,449,,,,,,,,,,549,,579,,411,,539,
45836541,"Terrasseskrue max3 4,8x42 cs ESSVE",stk,,,,209,,,,,,,,,,,,269,,,,,
45837763,"Terrasseskruer max3 utvendig 4,8x55 rustfri ESSVE",stk,,,298,609,,,,,,,,,,,,799,,,,,439.25
45848316,"Terrasseskruer max3 utvendig 4,8x70 cs ESSVE",stk,,,229,259,,,,,,,,,,,,,,,,,
54096166,Treskrue ESSDRIVE senkhode 5x80 cs 100stk essve,stk,,219,209,199,,197.3,,,,199,195,,,,,305,,,,,214.68
54096174,Treskrue ESSDRIVE corrseal senkhode 5x90 essve 100stk,stk,,229,259,259,,233.09,,,,229,199,,,,,299,,,,,253.3
54096238,Treskrue ESSDRIVE senkhode 6x100 cs 100stk essve,stk,,319,398,349,,399.19,,,,339,,,,,,519,,,,,399.58
55362455,Treskrue ESSDRIVE senkhode 5x90 elforsinket 100stk essve,stk,,,259,249,,203.6,,,,269,,,,,,429.5,,,,,203.6
55979662,Treskrue ESSDRIVE senkhode 5x90 syrefast -100 essve,pakke,,,539,459,,477.49,,,,439,585,,,,,629,,,,,477.49
40479669,Jordan perfect flat pensel 50mm inne,pakke,,,145,149,129,134.28,,159,,119,,,149,149,149,135,159,,,,129.55
40480410,Pensel flat perfect 70mm inne Jordan,pakke,,,175,159,,167.1,,189,,139,,,179,179,189,159,219,,,,155.2
40480444,Pensel oval perfect inne 35mm Jordan,pakke,,,135,139,,133.15,,,,109,,,149,149,149,135,139.9,,,,121.4
40480568,Malerullbøyle 18cm aluminium Ultimate jordan,pakke,,,98,109,98.95,104.8,,129,,85,,,119,109,109,107,102.9,,,,104.8
44724445,Jordan malerull Ultimate 18cm jevne underlag,pakke,,,125,109,,116.94,,129,,109,,,119,109,119,99,129,,,,114.3
44729595,Ultimate malerull grove underlag 18cm jordan,pakke,,,129,111,98.95,118.85,,129,,119,,,119,119,109,111,111,,,,116.58
44730034,Minisett perfect 10cm glatte underlag Jordan,pakke,,,98,99,88.95,91.95,,99,,89,,,99.5,99,99,99.9,99.9,,,,93.88
44730575,Jordan malerull basic 18cm jevne underlag,pakke,,,66,69,68.95,59.87,,69,,56,,,89.5,79,79,71.3,77.9,,,,59.84
49432774,Malerullbøtte 7L Jordan,pakke,,,59,79,,57.6,,99,,52,,,79.5,,69,74.9,61.9,,,138,57.6
56259420,Pensel skrå presisjon 50mm Ultimate jordan,pakke,,,249,179,,199,,219,,209,,,219,199,189,179,179,,,,199
41441205,Sagblad aiz32apb l:50mm woodmetal Bosch,stk,,249,349,199,,245.93,,,,,,,,,249,359,,179,,179,245.93
53559777,Bitssett 20 deler eksponeringseske ESSVE,pakke,,,229,239,,299.65,,,,279,199,,,,,,,283,,,269
55386921,Bordsirkelsag gts 635-216 bord gta 560 Bosch,stk,,7499,7622.5,7622.5,,7502.82,,,,,7623,,,,,7499,,7479,,8999,7622.5
21802988,"Fugemasse silmax 2620 0,3L BOSTIK",pakke,,,155,,,,,,,,,,,,,,,,,,129
21802996,"Fugemasse silmax 2620 grå 0,3L BOSTIK",pakke,,,,,,,,,,,,,,,,,,,,,124.75
24372518,"Silikon build%26sanitary grå 0,3L BOSTIK",stk,,,155,,,,,,,,,,,,,,,,,,149
26860528,Rødsprit 1L Kemetyl,stk,,,76,,,90.2,,,,,,,,,,,,,,,
29769429,"LADY Vegg 10 hvit base 2,7L jotun",stk,,,390,419,,372,,,,,,,419,,,,419,,,,430
40348252,Rensemiddel våtserviett handy wipes 150stk BOSTIK,stk,,,399,519,,562.93,,,,,,,,,,505,,,,,553.75
40834665,"Interiør 10 base hvit 2,7L Gjøco",stk,,,219,259,,262.98,,,,,,,,,,,,,,,219
42543340,Butinox futura maling c-base 9L vanntynbar akrylmaling c-ba,stk,,1349,1790,,,,,,,1690,,,,,,,1349,,,,1958.18
43845506,Malertape 25mx25mm gul professional innendørs 2stk Tesa,stk,,109,119,129,,129,,149,,139,,,129,129,109,139,129,,,,119
43852945,"OPTIMAL vindu og dør oksr base 2,7L jotun",stk,,479,649,739,,757.77,,799,,,,,799,,,861,739,,212,,765.3
44502935,"LADY Supreme Finish 15 hvit-base jotun silkematt 2,7L",stk,,,679,789,,769,,,,799,,,849,789,,785,785,,,,699
44517533,"Jotun lady supreme 40 hvit 2,7L halvblank fargen kan blandes",stk,,,679,789,629.5,779,,,,799,,,849,789,,785,785,,,,699
44519186,"Jotun lady supreme 40 hvit 2,7L halvblank fargen kan blandes",stk,,,679,789,629.5,779,,,,799,,,849,789,,785,785,,,,699
48273275,Vegg og tak hvit/a-base 9L Jotun,stk,,549,709,699,,802,,699,,,,,669,699,,725,669,,,,771.13
49572963,"Fugemasse maxi bond seal grey 0,29L BOSTIK",stk,,,259,,,,,,,,,,,,,,,,,,158.53
49573493,"Fugemasse maxi bond seal 0,3L brun BOSTIK",pakke,,,259,199,,178.49,,,,,,,,,,,,,,,201.57
49574586,"Fugemasse maxi bond seal white 0,3L BOSTIK",pakke,,,189,,,,,,,,,,,,,,,,,,168.76
49890453,"Monteringslim maxi bond xpress 0,3L BOSTIK",stk,,,239,,,,,,,,,,,,,,,,,,288.3
49918994,"Monteringslim power bond 0,3L BOSTIK",stk,,,,,,,,,,,,,,,,,,,,,
51205166,LADY Perfection hvit base 9L jotun,stk,,899,1090,1049,,1124,,1099,,1190,,,999,1149,,1050,1050,,,,1221.47
55805260,Quick b merkespray oransje 500ml,stk,,249,259,259,,255.49,,,,,,,259,269,,315,259,,,,255.49
11494804,"Veggjennomføring 0,5m 4"" Flexit",stk,,,169,179,,169.2,169,,,149,,,,149,101,193,109,117,,236,167.42
11499142,Ventilasjonsrør 3m ø125 ean Flexit,stk,,,459,359,,369.65,459,,,369,,,,329,269,359,269,269,,,369.65
21396072,Ventilfeste nippel pakn ø125 ean Flexit,stk,,,139,129,,130.24,179,,,,,,,119,82,157,,104,52.5,,130.24
21543129,"Kappe flat aluzink 6x6"" Flexit",stk,,,195,139,,139.74,149,,,129,,,,119,100,172,99.9,105,,,139.74
21543152,Skjøtenippel pakning ø125 ean Flexit,stk,,,129,119,,119.35,199,,,109,,,,139,119,141,119,139,,,119.35
21705884,Reduksjon pakning ø125/100 ean Flexit,stk,,,185,179,,169.95,249,,,149,,,279,179,149,209,149,179,,,169.95
43815478,Rist ps 100 4:kt stuss ø100 hvit Flexit,stk,,,185,169,,167.6,199,,,139,,,,129,93,,82.9,,49,223,167.6
28320216,Hanske mekaniker størrelse 9 grå Hanske-Companiet,stk,,,46,,,,,,,,,,,,,,33.9,,,,
25322181,Hyllevinkel hvit 148 200x250mm Habo,pakke,,,39,23.9,,45.65,,39,,18.9,,,,26.9,,,,,,,37.4
57067246,Garderobe øko 100 white EUROKIT,stk,,,,3690,,,,,,,,,,,,,,,2209,,3990
EA,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
05034002_0600,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
05034010_0600,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
05068260_0600VZ,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
05068500_1200,,,kode-ikke-funnet,,,,,,,,,,,,,,,,,,,,
